price_category_code,year_of_date,passenger_count
Other,2005,15301920
Other,2006,30102693
Other,2007,31633080
Other,2008,31122234
Other,2009,31035362
Other,2010,32268952
Other,2011,32980583
Other,2012,35527218
Other,2013,36203032
Other,2014,38186760
Other,2015,40242274
Other,2016,42123247
Other,2017,44432986
Other,2018,50106516
Other,2019,39470902
Low Fare,2005,1920113
Low Fare,2006,3230277
Low Fare,2007,3921002
Low Fare,2008,6112444
Low Fare,2009,6303580
Low Fare,2010,6985047
Low Fare,2011,7947203
Low Fare,2012,8872667
Low Fare,2013,8742728
Low Fare,2014,8927871
Low Fare,2015,9815613
Low Fare,2016,10980201
Low Fare,2017,11390726
Low Fare,2018,7640357
Low Fare,2019,4031658
